Code,Name
A.01.a.01,Information Ordering
A.01.a.02,Categorization Flexibility
A.01.a.03,Deductive Reasoning
A.01.a.04,Inductive Reasoning
A.01.a.05,Fluency of Ideas
A.01.a.06,Problem Identification
A.01.b.01,Numerical Ability
A.01.b.02,Mathematical Reasoning
A.01.c.01,Memorizing
A.01.c.02,Multitasking
A.01.c.03,Pattern Identification
A.01.c.04,Pattern Organization Speed
A.01.c.05,Perceptual Speed
A.01.d.01,Spatial Orientation
A.01.d.02,Spatial Visualization
A.01.e.01,Verbal Ability
A.01.e.02,Written Comprehension
A.01.e.03,Written Expression
A.01.f.01,Selective Attention
A.01.f.02,Form Perception
A.01.f.03,General Learning Ability
A.02.f.01,Trunk Strength
A.02.a.02,Static Strength
A.02.a.03,Dynamic Strength
A.02.a.04,Explosive Strength
A.02.b.01,Multi-Limb Coordination
A.02.b.02,Gross Body Coordination
A.02.b.03,Gross Body Equilibrium
A.02.b.04,Body Flexibility
A.02.b.05,Dynamic Flexibility
A.02.c.01,Stamina
A.03.a.01,Arm-Hand Steadiness
A.03.a.02,Finger Dexterity
A.03.a.03,Manual Dexterity
A.03.b.01,Hand-Eye Coordination
A.03.b.02,Rate Control
A.03.b.03,Control of Settings
A.03.b.04,Multi-Signal Response
A.03.c.01,Reaction Time
A.03.c.02,Speed of Limb Movement
A.03.c.03,Finger-Hand-Wrist Motion
A.04.a.01,Auditory Attention
A.04.a.02,Hearing Sensitivity
A.04.a.03,Speech Clarity
A.04.a.04,Speech Recognition
A.04.a.05,Sound Localization
A.04.b.01,Far Vision
A.04.b.02,Near Vision
A.04.b.03,Peripheral Vision
A.04.b.04,Depth Perception
A.04.b.05,Glare Tolerance
A.04.b.06,Night Vision
A.04.c.01,Colour Perception
A.04.c.02,Smell
A.04.c.03,Taste
A.04.c.04,Touch
B.01.a.01,Leadership
B.01.a.02,Charisma
B.01.b.01,Concern for Others
B.01.b.02,Collaboration
B.01.b.03,Service Orientation
B.01.b.04,Trust in Others
B.01.b.05,Social Orientation
B.02.a.01,Adaptability
B.02.a.02,Self-Control
B.02.a.03,Stress Tolerance
B.02.a.04,Tolerance of Ambiguity
B.02.a.05,Resilience
B.02.b.01,Self-Awareness
B.02.b.02,Self-Confidence
B.02.c.01,Active Learning
B.02.c.02,Continuous Learning
B.03.a.01,Achievement
B.03.a.02,Initiative
B.03.a.03,Motivation
B.03.a.04,Perseverance
B.03.a.05,Risk-Taking
B.03.a.06,Competitiveness
B.03.a.07,Independence
B.04.a.01,Reliability
B.04.a.02,Integrity
B.04.a.03,Being Responsible
B.05.a.01,Having Judgement
B.05.a.02,Analytical Thinking
B.05.a.03,Attention to Detail
B.05.b.01,Creativity
B.05.b.02,Innovativeness
B.05.b.03,Entrepreneurial Spirit
C.01.a.01,Realistic
C.01.a.02,Investigative
C.01.a.03,Artistic
C.01.a.04,Social
C.01.a.05,Enterprising
C.01.a.06,Conventional
F.01.a.01,Oral Communication: Active Listening
F.01.a.02,Oral Communication: Oral Comprehension
F.01.a.03,Oral Communication: Oral Expression
F.01.b.01,Reading Comprehension
F.01.b.02,Writing
F.01.c.01,Numeracy
F.01.c.02,Digital Literacy
F.02.a.01,Critical Thinking
F.02.a.02,Learning and Teaching Strategies
F.02.a.03,Decision Making
F.02.b.01,Evaluation
F.02.b.02,Requirements Analysis
F.02.b.03,Systems Analysis
F.02.b.04,Researching and Investigating
F.02.b.05,Problem Solving
F.03.a.01,Equipment and Tool Selection
F.03.a.02,Preventative Maintenance
F.03.a.03,Setting Up
F.03.a.04,Operation and Control
