Code,Structure Type,English Name,French Name,Language ID,Alternative Title text
A,Category,Abilities,Habiletés,18,Facultés
,,,,18,Aptitudes
,,,,13,Faculty
,,,,13,Aptitudes
,,,,13,Faculties
A01,Sub-Category,Cognitive Abilities,Habiletés cognitives,,
A01a,Similarity Group,Idea Generation and Reasoning Abilities,Habiletés à générer des idées et à raisonner,,
A01a01,Descriptor,Information Ordering,Ordonner de l’information,,
A01a02,Descriptor,Categorization Flexibility,Souplesse dans la catégorisation,,
A01a03,Descriptor,Deductive Reasoning,Raisonnement déductif,,
A01a04,Descriptor,Inductive Reasoning,Raisonnement inductif,,
A01a05,Descriptor,Fluency of Ideas,Facilité à concevoir des idées,,
A01a06,Descriptor,Problem Identification,Détection de problèmes,13,Problem Sensitivity
A01b,Similarity Group,Quantitative Abilities,Habiletés quantitatives,,
A01b01,Descriptor,Numerical Ability,Habileté numériques,,
A01b02,Descriptor,Mathematical Reasoning,Raisonnement mathématique,,
A01c,Similarity Group,Memory Abilities,Habiletés de mémoire,,
A01c01,Descriptor,Memorizing,Mémorisation,13,Significant Use of Memory
,,,,18,Utilisation particulière de la mémoire
A01c02,Descriptor,Multitasking,Tâches multiples,13,Time Sharing
A01c03,Descriptor,Pattern Identification,Identification de motifs,18,Identification de structures
A01c04,Descriptor,Pattern Organization Speed,Vitesse d’organisation de motifs,13,Speed of Closure
,,,,18,Rapidité d’organisation de structures
A01c05,Descriptor,Perceptual Speed,Vitesse de perception,,
A01d,Similarity Group,Spacial Abilities,Habiletés spatiales,,
A01d01,Descriptor,Spatial Orientation,Orientation spatiale,,
A01d02,Descriptor,Spatial Visualization,Visualisation spatiale,13,Spatial Perception
,,,,18,Perception spatiale
,,,,13,Visualization
A01e,Similarity Group,Communication Abilities,Habiletés de communication,,
A01e01,Descriptor,Verbal Ability,Habileté verbale,,
A01e02,Descriptor,Written Comprehension,Compréhension écrite,,
A01e03,Descriptor,Written Expression,Expression écrite,,
A01f,Similarity Group,Other Cognitive Abilities,Autres habiletés cognitives,,
A01f01,Descriptor,Selective Attention,Attention sélective,,
A01f02,Descriptor,Form Perception,Perception des formes,,
A01f03,Descriptor,General Learning Ability,Habileté générale à apprendre,,
A02,Sub-Category,Physical Abilities,Habiletés physiques,,
A02a,Similarity Group,Physical Strength Abilities,Habiletés de force physique,,
A02a01,Descriptor,Trunk Strength,Force du torse,18,Force du tronc
A02a02,Descriptor,Static Strength,Force statique,,
A02a03,Descriptor,Dynamic Strength,Force dynamique,,
A02a04,Descriptor,Explosive Strength,Force explosive,,
A02b,Similarity Group,"Flexibility, Balance, and Coordination","Flexibilité, équilibre et coordination",,
A02b01,Descriptor,Multi-Limb Coordination,Coordination de plusieurs membres,,
A02b02,Descriptor,Gross Body Coordination,Coordination globale du corps,,
A02b03,Descriptor,Gross Body Equilibrium,Équilibre global du corps,,
A02b04,Descriptor,Body Flexibility,Flexibilité corporelle,13,Extent Flexibility
A02b05,Descriptor,Dynamic Flexibility,Souplesse dynamique,,
A02c,Similarity Group,Endurance,Endurance,,
A02c01,Descriptor,Stamina,Endurance,,
A03,Sub-Category,Psychomotor Abilities,Habiletés psychomotrices,,
A03a,Similarity Group,Fine Manipulative Abilities,Habiletés de manipulations fines,,
A03a01,Descriptor,Arm-Hand Steadiness,Stabilité des bras et des mains,13,Steady motion
,,,,13,Stabilize motions
,,,,13,Arm-hand stability
