Column12;Column2;Column3;Column4
Code;Structure Type;Name;Description
A;Category;Abilities;Innate and developed aptitudes that facilitate the acquisition of knowledge and skills to carry out expected work.
A.01;Sub-Category;Cognitive Abilities;Abilities that influence the acquisition and application of knowledge in performing various mental processes at work.
A.01.a;Similarity Group;Idea Generation and Reasoning Abilities;
A.01.a.01;Descriptor;Information Ordering;The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules, such as patterns of numbers, letters, words, pictures or mathematical operations.
A.01.a.02;Descriptor;Categorization Flexibility;The ability to generate or use different sets of rules for combining or grouping things in different ways. 
A.01.a.03;Descriptor;Deductive Reasoning;The ability to apply general rules to produce logical answers for specific problems. 
A.01.a.04;Descriptor;Inductive Reasoning;The ability to combine pieces of information to form general rules or conclusions, which includes finding a relationship among seemingly unrelated events. 
A.01.a.05;Descriptor;Fluency of Ideas;The ability to come up with multiple ideas about a topic. 
A.01.a.06;Descriptor;Problem Identification;The ability to identify an existing or potential problem. It is not about solving the problem, but only about recognizing its presence. 
A.01.b;Similarity Group;Quantitative Abilities;
A.01.b.01;Descriptor;Numerical Ability; The ability to process arithmetical operations such as addition, subtraction, multiplication and division.
A.01.b.02;Descriptor;Mathematical Reasoning;The ability to choose the right mathematical methods or formulas to solve a problem. 
A.01.c;Similarity Group;Memory Abilities;
A.01.c.01;Descriptor;Memorizing;The ability to remember information such as words, numbers, pictures or procedures.
A.01.c.02;Descriptor;Multitasking;The ability to alternate between two or more activities or sources of information, such as conversations, sounds, touch or other stimuli, during the same period.
A.01.c.03;Descriptor;Pattern Identification;The ability to identify or detect a known pattern such as a figure, object, word or sound that is hidden in other information or material.
A.01.c.04;Descriptor;Pattern Organization Speed;The ability to quickly combine and organize information into meaningful patterns. 
A.01.c.05;Descriptor;Perceptual Speed;The ability to compare, quickly and accurately, similarities and differences among sets of letters, numbers, objects, pictures or patterns. The things to be compared may be presented at the same time, one after the other or with a remembered object.
A.01.d;Similarity Group;Spacial Abilities;
A.01.d.01;Descriptor;Spatial Orientation;The ability to know your location in relation to the environment or know where objects are in relation to you.
